"","c = 0.01","c = 0.025","c = 0.05","c = 0.075","c = 0.1","c = 0.15","c = 0.2","c = 0.25","c = 0.3","c = 0.35","c = 0.4","c = 0.45","c = 0.5"
"m = 0.01",2.56740427355318,1.89689120386099,1.03387797942423,0.97810716969739,0.913377819895336,1.08113885404834,1.08987498752576,0.710503928754439,1.18337723708318,0.810117720227608,0.98653604326006,0.933389688821719,0.965883548105036
"m = 0.03",2.45926987857815,1.10381970155649,1.46302369084438,1.30730271513588,0.935719336986987,1.08823621681269,1.13699145347463,0.952684632202688,0.845998936847655,0.962398326152832,1.1495796153175,0.910208860851888,0.995213997590024
"m = 0.05",2.41532362894868,1.85426994363754,1.21337561442927,1.32170781474385,1.42785475740781,1.02921832955616,1.14060417877332,1.23327909660905,1.00915532474127,1.11828157712479,1.0716611536563,1.14392900268287,1.05461634097644
"m = 0.1",2.5032883673192,1.6619236773063,1.30992110718881,1.47626076464298,1.48550314302223,1.22127883993619,1.22034814874066,1.10334051920222,1.16997286720679,1.15837461928232,0.925059262458853,0.872724105003077,1.1170798138148
"m = 0.15",3.75633703008342,1.63033378285651,1.66263410653129,1.52083627194141,1.89990952510282,1.11083155309755,1.22435819296022,1.02290147142416,1.0707288095669,1.05797354153952,1.04652640896546,0.962563894069753,1.02293037780171
"m = 0.2",2.51491426898468,2.59873431591828,1.4599889735453,1.55408567461327,1.32933283368679,1.27113943841696,1.14116490581002,1.07237959253492,1.11717915866188,1.02644921267325,1.07535646184025,1.07118147288062,0.955405069974194
"m = 0.25",2.09466044157308,1.80919827179981,1.71558085407754,1.63316612847784,1.59516854220163,1.50985077931946,1.38459615923194,1.33156538268864,1.30970505949559,1.04726493049679,1.10932581553587,1.07826458973215,1.0824201332149
"m = 0.3",2.3718352844186,2.08526226177474,1.87666090051704,1.39688051032559,1.41116858496616,1.38564374065912,1.30824837238043,1.1455492934057,1.15803741413514,1.02570293900806,1.09535469219488,1.02944212378276,1.16045376018375
"m = 0.4",3.0202300200321,2.34896585588571,1.91766519283551,1.21861357782705,1.82650591625574,1.09738495172374,1.18263188185235,1.13542604348174,1.11728799570276,1.14818635855014,1.07175819807296,0.942815503242322,0.988915988390457
"m = 0.5",2.58511617100986,2.10060041780487,1.80144892663107,1.32871500402512,1.40806583672072,1.55235417537111,1.22763145859799,1.34103663022969,1.17126553021067,1.26840538788694,1.16565232603718,1.08938117141972,1.02616072528462
