,c = 0.05,c = 0.075,c = 0.1,c = 0.1,c = 0.15,c = 0.2,c = 0.25,c = 0.3,c = 0.35,c = 0.4,c = 0.45,c = 0.5
m = 0.01,2.27529710699559,1.82233068969112,1.58893899805893,1.48638778456201,1.427277749388,1.27277012037767,1.16986863072489,1.13100659758142,1.13636538502747,1.07573371849067,1.06243364982239,1.03725191245512
m = 0.03,3.37785625975561,2.62619166030332,2.22333612035052,2.20933356045849,1.78766892108317,1.616855865261,1.36043894639253,1.31197145914944,1.2289229678052,1.15156586375558,1.19780218785022,1.11924935684606
m = 0.05,3.86294224003367,3.08940702302741,2.54463865935623,2.52807142010271,2.07193164835281,1.76761409283161,1.46753815124454,1.44447617822032,1.36365872691131,1.26327163660894,1.23405336480282,1.1982022582635
m = 0.1,4.32277797666047,3.48717564567796,2.92883222811616,2.84980479424708,2.17895899197286,1.98531724445777,1.59485178999712,1.52618904296092,1.46445640942979,1.40854251781245,1.30379499575498,1.2919915469278
m = 0.15,4.53184986399633,3.63511437221205,3.10209728842362,3.05745567881416,2.34595375050914,2.05793102448672,1.80559081693903,1.67722488205047,1.53592839573463,1.49569010676363,1.37453466437318,1.3468202232196
m = 0.2,4.52004373344388,3.68647215659138,3.20414709202133,3.23059503878459,2.38592496166074,2.11963471058936,1.95947735432009,1.65012337341939,1.59652850119138,1.45701141909515,1.43576308724632,1.40678176940741
m = 0.25,4.53883115550881,3.77241523986594,3.22751996604105,3.17591061197189,2.59345644312554,2.14966843728931,1.91239424394856,1.71184522208148,1.5918833156975,1.54909723523568,1.4802262885729,1.43700194841079
m = 0.3,4.47621007456142,3.7525399753595,3.2345357215697,3.31180839595452,2.5490718123939,2.17896681361949,1.94898528146643,1.72304080895862,1.59551812409413,1.58160800441236,1.46315313390838,1.4725358486857
m = 0.4,4.38388139359412,3.71133482143893,3.22694866184323,3.19058713345702,2.55683812234422,2.28021531626772,1.8826533146432,1.76340854364886,1.63708668420824,1.58666147391921,1.48083196729008,1.46812423744607
m = 0.5,4.25048415142621,3.61649063541841,3.13088442641971,3.18822009823831,2.49811985267425,2.22421028592895,1.99755674550518,1.78136151119049,1.65918600283272,1.60170487877576,1.62183279432187,1.53191491556482
